196,64,1,585861
234,55,1,585876
212,52,1,585877
235,52,1,585877
142,56,1,585878
228,39,1,585893
85,37,1,585898
223,47,1,585898
224,45,1,585902
231,33,1,585927
72,33,1,585927
169,25,1,585939
234,27,1,585943
169,26,1,585943
174,23,1,585955
178,23,1,585955
198,7,1,585964
161,5,1,585973
230,13,1,585988
238,13,1,585988
210,12,1,585988
62,14,1,585989
196,15,1,585989
88,17,1,585990
14,178,1,585998
200,178,1,585998
8,174,1,586013
115,170,1,586017
2,149,1,586048
100,144,1,586080
113,139,1,586091
90,138,1,586092
147,133,1,586099
196,111,1,586133
102,102,1,586156
10,93,1,586182
89,84,1,586198
206,85,1,586198
131,90,1,586200
72,80,1,586207
237,70,1,586238
190,71,1,586242
179,75,1,586242
238,73,1,586250
165,49,1,586341
72,30,1,586353
77,28,1,586357
83,25,1,586362
198,20,1,586370
206,20,1,586371
174,23,1,586382
178,23,1,586382
234,23,1,586382
235,23,1,586383
186,3,1,586390
161,6,1,586391
166,6,1,586391
190,6,1,586391
203,5,1,586403
210,11,1,586411
168,12,1,586412
230,12,1,586412
196,15,1,586423
90,168,1,586458
234,159,1,586499
123,162,1,586507
142,127,1,586560
14,125,1,586560
234,110,1,586588
116,109,1,586592
162,108,1,586592
166,102,1,586604
99,103,1,586604
103,99,1,586619
103,98,1,586623
86,85,1,586645
87,85,1,586646
182,84,1,586646
167,77,1,586686
82,70,1,586694
150,70,1,586694
154,74,1,586699
162,75,1,586699
151,67,1,586721
83,59,1,586755
84,43,1,586759
230,39,1,586763
190,38,1,586764
230,37,1,586764
78,36,1,586765
208,46,1,586765
157,49,1,586786
169,27,1,586821
186,22,1,586825
180,3,1,586833
158,9,1,586846
199,17,1,586874
170,178,1,586889
117,174,1,586890
11,170,1,586899
108,149,1,586926
235,132,1,587000
134,134,1,587004
128,135,1,587005
93,125,1,587020
130,125,1,587020
178,108,1,587047
52,86,1,587112
60,85,1,587116
86,81,1,587138
229,83,1,587142
156,57,1,587222
214,43,1,587238
159,39,1,587238
204,39,1,587238
158,49,1,587267
165,34,1,587272
106,35,1,587276
165,33,1,587283
142,29,1,587286
100,25,1,587298
174,13,1,587348
130,121,1,587533
230,94,1,587594
142,79,1,587647
215,63,1,587696
230,57,1,587722
214,42,1,587727
64,21,1,587821
234,0,1,587822
188,3,1,587826
208,13,1,587850
199,179,1,587874
181,161,1,587941
159,139,1,587963
207,139,1,587963
100,96,1,588047
104,99,1,588048
230,40,1,588163
223,44,1,588172
80,49,1,588181
164,35,1,588182
207,138,1,588332
156,72,1,588461
82,34,1,588520
136,21,1,588565
146,7,1,588573
174,14,1,588586
102,100,1,588716
106,77,1,588781
144,69,1,588801
136,0,1,588880
179,2,1,588885
181,162,1,588969
0,103,1,589038
52,86,1,589078
200,73,1,589105
179,74,1,589106
144,69,1,589110
230,36,1,589130
156,50,1,589132
168,21,1,589164
199,9,1,589201
106,175,1,589227
172,166,1,589233
220,144,1,589273
78,123,1,589303
186,97,1,589352
144,64,1,589429
158,39,1,589442
226,43,1,589450
230,33,1,589463
169,24,1,589478
170,24,1,589479
178,0,1,589487
167,2,1,589488
167,9,1,589503
184,9,1,589504
227,12,1,589508
232,138,1,589593
212,125,1,589619
98,104,1,589668
102,99,1,589685
30,93,1,589689
212,86,1,589697
44,69,1,589749
193,66,1,589757
229,37,1,589791
158,44,1,589808
82,32,1,589812
164,34,1,589816
79,29,1,589820
